floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
BR300600-91-01,Bridge 80.430km TRACK 1,80109202,2022-09-16,CSV-SNA AR Support 80.355-80.505km,C20,Structure Track
BR300600-91-01,Bridge 80.430km TRACK 1,80107333,2023-05-03,BBR NL CSV-SNA Pelican 80.355-80.505KM,C20,Structure Track
BR300668-91-01,Bridge 195.260km TRACK 1,80109312,2022-08-23,STR-EAG DCP Test 195.197-195.326km,C20,Structure Track
BR300676-91-01,Bridge 178.340km TRACK 1,80108820,2022-07-21,STR-EAG DCP Test 178.276km,C20,Structure Track
BR300676-91-01,Bridge 178.340km TRACK 1,80108274,2022-12-31,FY23 NL Suttor Creek DCP Only,C20,Structure Track
BR400040-91-01,Bridge 163.700km TRACK 1,80114501,2023-08-11,C20-BR-MA-4 MILE CK-MAIN-163.700KM,C20,Structure Track
BR400110-91-01,Bridge 100.890km TRACK 1,80110743,2022-12-08,SR_CABLE LOC_ MT R/DUMGREE,C01,Structure Track
BR400110-91-01,Bridge 100.890km TRACK 1,80112395,2023-04-17,SR_TSR & GREASER Bridge Rollouts Renewal,C20,Structure Track
BR400110-91-01,Bridge 100.890km TRACK 1,80112256,2023-04-25,Mt Rainbow - Dumgree - C21,C20,Structure Track
BR400110-91-01,Bridge 100.890km TRACK 1,80108558,2023-04-25,BBR MA Dumgree-Mount Rainbow 100.81-100.,C20,Structure Track
BR400159-91-01,Bridge 131.460km TRACK 1,80105412,2021-10-25,BBR Earlsfield - Belldeen 131.46km Calli,C20,Structure Track
BR400159-91-01,Bridge 131.460km TRACK 1,80105483,2021-10-27,SR_EAR-BEL_Ma-131.200_CALLIDEck_CABLELOC,C20,Structure Track
BR400159-91-01,Bridge 131.460km TRACK 1,80102505,2022-10-31,BBR MA Earlsfield - Belldeen 131.46km Ca,C20,Structure Track
BR400169-91-01,Bridge 30.210km TRACK 1,80108273,2022-12-31,FY23 MA Leixlip Creek Main DCP Only,C20,Structure Track
BR400169-91-01,Bridge 30.210km TRACK 1,80116174,2024-05-05,SR_CABLE LOC_GRAHAM/STIRRIT MAIN,C20,Structure Track
BR400169-91-01,Bridge 30.210km TRACK 1,80115992,2024-05-20,SR_GE-SE CM TSR Support 30.154km,C20,Structure Track
BR400233-91-01,Bridge 133.600km TRACK 1,80105484,2021-10-27,SR_EAR-BEL_Ma-133.300_KROOMBIT_CABLELOC,C20,Structure Track
BR400233-91-01,Bridge 133.600km TRACK 1,80106743,2022-02-10,Bridge Rollouts Renewal (Kroombit Ck).,C20,Structure Track
BR400233-91-01,Bridge 133.600km TRACK 1,80104431,2022-03-19,BBR MA Earlsfield - Belldeen 133.555-133,C20,Structure Track
BW,BLACKWATER,50410966,2023-06-30,Rail Grinding Turnouts Blackwater - C26,C26,Track Objects
BW,BLACKWATER,50410965,2023-06-30,Rail Grinding Mainline Blackwater - C25,C25,Track Objects
BW,BLACKWATER,80113236,2023-12-18,BW Sys Mast Foundation Delineators,T25,Track Objects
BW-0101-00101B,101B Electrical Sub-Section,50412501,2021-11-14,SR_TIG-TAILS Install_GRC UP DN_8.200_ISO,T25,Electrical Section
BW-0101-00101B,101B Electrical Sub-Section,50414099,2022-02-21,W413_SR_GRC UP_ISO/BD,T27,Electrical Section
